province,return_period,original_fit_rr,rr_bootstrap_median,rr_lower_95,rr_upper_95,rr_valid_bootstraps,original_fit_ric,ric_bootstrap_median,ric_lower_95,ric_upper_95,ric_valid_bootstraps
Guizhou Province,4.707957995609706,1.3843420170584653,1.3938623620289832,1.1248689033659036,1.8078098593857224,1000,-29.696599605229615,-30.110353635720994,-45.879677700540825,-12.279703817171052,1000
Guizhou Province,4.774727142064283,1.3875916552480156,1.3972707101880255,1.1263548437836677,1.815507192988038,1000,-29.29300329828162,-29.697221598569442,-45.34986551436393,-12.132584456796947,1000
Guizhou Province,4.842443221121577,1.3908892837411897,1.4002841566766584,1.1278951652414477,1.8232995259055294,1000,-28.905093118768026,-29.27746372841308,-44.835712551111364,-11.994745757436887,1000
Guizhou Province,4.911119662358001,1.3942352536383669,1.4038708038639727,1.128813815692993,1.8352546380379897,1000,-28.532081612927357,-28.90734544937751,-44.28876690315347,-11.865657209328663,1000
Guizhou Province,4.980770085810741,1.397629916104237,1.4070013321064954,1.128274324435428,1.8475664139599208,1000,-28.173231892160945,-28.516978492861078,-43.75287447671343,-11.74482525715716,1000
Guizhou Province,5.051408304678919,1.4010736226103342,1.4104263182915862,1.1277358018525472,1.8584593635738906,1000,-27.827853662691837,-28.16142854268501,-43.257683094432856,-11.622053408125902,1000
Guizhou Province,5.123048328063047,1.4045667251671219,1.4135577717183947,1.1292574729520148,1.8675294988017257,1000,-27.49529962312515,-27.85022440285575,-42.766556706327194,-11.354115158788233,1000
Guizhou Province,5.195704363743333,1.4081095765463325,1.4169580902651817,1.1308766372195933,1.8767159468747507,1000,-27.174962190740096,-27.5166046804906,-42.32101216578108,-11.097086062248195,1000
Guizhou Province,5.269390820997405,1.4117025304941488,1.4208655609084824,1.1325550784315697,1.886020032164989,1000,-26.866270522027538,-27.201936974902132,-41.94860316298194,-10.848812438241646,1000
Guizhou Province,5.344122313457973,1.4153459419357968,1.4242576357509291,1.1342838471724497,1.895378456827797,1000,-26.568687797072958,-26.900536032573832,-41.481194406367806,-10.608868897015228,1000
Guizhou Province,5.419913662011037,1.419040167172119,1.428310563547573,1.1360632270331625,1.9064091840632609,1000,-26.281708740917857,-26.621586500513352,-41.02578273126124,-10.491257851760198,1000
Guizhou Province,5.496779897735195,1.4227855640685774,1.4319700617227462,1.1373399908995223,1.9179519042758308,1000,-26.00485735811788,-26.320467260847753,-40.60911939674891,-10.398524376024154,1000
Guizhou Province,5.57473626488263,1.4265824922372228,1.4358117963964983,1.1383509046218145,1.9268577560667892,1000,-25.737684859407075,-26.028569879805545,-40.22391760559235,-10.311656795356866,1000
Guizhou Province,5.653798223902378,1.4304313132119868,1.4389112566185709,1.1394039881918365,1.9358465208251399,1000,-25.47976776172711,-25.75371618605911,-39.85055407542076,-10.23182555717392,1000
