Province,mu0_est,sigma0_est,alpha_GMST_est,disp_est,event_magnitude_est,return_period_est,PR_est,dI_abs_est,dI_rel_est,aic_est,n_est,mu0_2.5%,sigma0_2.5%,alpha_GMST_2.5%,disp_2.5%,event_magnitude_2.5%,return_period_2.5%,PR_2.5%,dI_abs_2.5%,dI_rel_2.5%,aic_2.5%,n_2.5%,mu0_97.5%,sigma0_97.5%,alpha_GMST_97.5%,disp_97.5%,event_magnitude_97.5%,return_period_97.5%,PR_97.5%,dI_abs_97.5%,dI_rel_97.5%,aic_97.5%,n_97.5%
Hunan Province,4.89290648663683,0.253898825693133,0.234057612991968,0.0495703439340056,278.939155162317,44.4543765439497,24.1269261457758,68.3046263801304,32.4280291436752,629.292563362699,62,4.80211633266783,0.203825150953988,0.0378101968324093,0.0393719197470995,278.939155162317,13.6579461630672,1.62800982531478,12.3732572134933,4.64173487569502,602.053659389528,1000,4.97696392369791,0.295677666025457,0.434743842823343,0.0575845365539253,278.939155162317,361.771377526747,1137.20086563911,113.384550776131,68.487709900621,647.948049031313,0
Inner Mongolia Autonomous Region,0.462642605371326,0.923905053927078,1.41072922175255,0.501197827400468,5.26625155964801,1.72976229224206,11.3355445327427,4.29731509348181,443.508449061167,293.429840669202,62,0.124294999779392,0.720963442717968,0.855170165326065,0.368680838624643,5.26625155964801,1.35550106828406,4.65251132604102,3.3790130923051,179.045369833918,257.673900811108,1000,0.760293586485929,1.0776162885605,2.00223866264637,0.675054537395885,5.26625155964801,2.4562336179147,39.2568219116589,4.78978833359826,1005.28603912778,322.938816369024,0
Jiangsu Province,4.55303172528539,0.39430487866333,0.444324259819091,0.0790520581697777,287.567304097115,22.8301699431032,39.63250574844,118.842700324539,70.4359042293131,651.261082865312,62,4.38985905047751,0.316845554851138,0.129391093204869,0.0627501443145981,287.567304097115,9.61283710732631,3.08166663910489,41.3565715944205,16.7972681042463,621.859755137549,1000,4.69932620964943,0.450310605839154,0.753761522959096,0.0911747765009226,287.567304097115,123.292694715066,2567.22405138901,171.177644015143,147.073190393697,670.03302259906,0
Jiangxi Province,4.98446991865737,0.247209879020758,0.274413400351456,0.0470602377660615,290.728301611782,22.26355223431,36.5309459379755,81.5696465376389,38.9989343298864,639.163280136715,62,4.88982133129781,0.187508700459018,0.088702127668231,0.0353318825948229,290.728301611782,9.6888434274026,2.90678709192217,29.3557868161752,11.2314073635882,606.432458037877,1000,5.06681497225328,0.298816705603264,0.446349045165732,0.0574006855354751,290.728301611782,102.191539324919,2597.58568160637,120.562999009278,70.8505277762062,660.312407939539,0
Jilin Province,0.0146676283143831,1.48271349670659,1.93004823560202,0.778857763673467,4.64459228428096,1.67222007049409,6.33154995915607,4.18634865264165,913.563956724411,320.07128538525,62,-0.59758192587233006,1.12012131752999,1.08591449328629,0.536814672350962,4.64459228428096,1.3679908389207,3.13642529195184,3.3827060018216,268.068483658597,276.612388547882,1000,0.603823207486685,1.76952095704677,2.86205460395944,1.14717814748408,4.64459228428096,2.18574699051436,18.5780215030362,4.49483830778944,3001.48452791372,353.663949437799,0
Ningxia Ningxia Hui Autonomous Region,-2.350576703025,2.32564993738611,4.271392338574,1.27081295010639,8.24004704347826,2.21110690428913,44.93481022994,8.19108278927878,16728.6991769731,188.698508594953,62,-3.43603750880002,1.70812294431392,3.00736330002349,0.77601601167122,8.24004704347826,1.68341281454617,13.7976092739732,8.01679900609942,3593.62944459141,114.930826278421,500,-1.44299649252842,2.94862122255101,5.91942692065979,2.40714753578816,8.24004704347826,3.12294308535982,613.788502417971,8.23326946893481,121519.494828809,241.901524337744,0
Shaanxi Province,2.78580366118575,0.629921861014905,0.232545293437836,0.20903972792502,60.2431098487623,23.5304897777036,2.79990536116991,14.6692704567572,32.1879188860498,480.618080385048,62,2.52261180847822,0.500582426698962,-0.281595629607395,0.160870432357421,60.2431098487623,8.45572744647616,0.265398007559369,-24.2190651364019,-28.6743318385479,453.926131030629,1000,2.9982240048783,0.739029449946858,0.737360986719242,0.256275114351034,60.2431098487623,162.601339602212,31.5361140112265,35.3757120985304,142.258657995862,499.581903763055,0
Shandong Province,3.864878473578,0.400835660475978,0.511142428009399,0.0918261269073603,130.728208808408,9.75305755957037,39.816691616219,59.9359601549175,84.6645802258497,570.994018723227,62,3.69436347565607,0.320904053553806,0.200880340220399,0.0724189237779442,130.728208808408,4.97354492097773,4.33023481339365,28.0023337895529,27.2592837170862,543.02019134533,1000,4.02100950842641,0.46047853614228,0.815238280680228,0.107218385279256,130.728208808408,37.7450260293254,1489.94773893201,81.5802075647094,165.989763666658,589.942360210476,0
Shanghai Municipality,4.67963977564249,0.370742023128964,0.57539550977013,0.0707143976679147,320.598655517269,12.9132139166097,151.824319106973,159.870343781604,99.4661998593799,665.259360161584,62,4.54472201143575,0.298519677449177,0.308077250741422,0.056506052279252,320.598655517269,6.12378415220891,13.2561401370363,99.0820696172312,44.7289970169774,637.928395527725,1000,4.80159997328198,0.430286833252803,0.854559328928455,0.0833637167205262,320.598655517269,47.5607728901815,13276.9259034859,205.623178774096,178.840905727544,684.328292834508,0
Shanxi Province,1.28474617657972,0.714693370757596,0.592218360031446,0.383341050508145,17.0525344705448,11.5036206092365,9.36779868557125,8.67430333996407,103.53382718582,326.442397541256,62,0.983600499851583,0.559086857374554,0.126644474865783,0.283006406267762,17.0525344705448,5.28987336970245,1.74677289394775,2.4042155800087,16.4129357352318,296.231917520837,1000,1.53406194180486,0.840903901329147,1.11275040710462,0.505174779742792,17.0525344705448,43.7978170735289,114.850696328548,12.5663687225157,280.113808657438,348.584496141952,0
Sichuan Province,3.83055920649808,0.45282448359198,0.444619531237268,0.106154027113324,218.996939860813,152.531730456234,51.7786389115419,90.5502030350997,70.4963047507898,578.846305788358,62,3.63172883804623,0.359938499487662,0.0724838584746632,0.0857812254030599,218.996939860813,26.0661848271652,2.40424098975006,18.2435685960088,9.08755709381831,550.504335690779,1000,4.00316224503106,0.524806311760784,0.841877306981049,0.12282466308908,218.996939860813,5642.92226222524,1435.9788670051,139.254256017363,174.629513328751,599.344864292822,0
Tianjin Municipality,3.7800689827971,0.440811969617252,0.973493931111069,0.0931382831316479,129.166425818803,2.5935642888773,235.694088483054,89.0049196789894,221.617484586206,593.218542494222,62,3.58538557411714,0.358953443771033,0.670243484355833,0.0753148621824186,129.166425818803,1.8300537796279,37.8474517319186,71.3767723249385,123.511441834176,566.868810121141,1000,3.95136938645864,0.500187800975791,1.2909517930849,0.106476343592941,129.166425818803,4.39889325368621,5744.9661276403,101.727574674582,370.743203276459,611.603006500266,0
Tibet Autonomous Region,3.53862826352194,0.164199422147142,0.557807031342555,0.0401998109250152,69.5667785712226,5.93772660208094,712311.710358111,33.9463718406606,95.3003487507485,421.986846853062,62,3.47118602509289,0.139224844090133,0.426701399260272,0.034104253738873803,69.5667785712226,3.08767739695653,17339.2544385614,27.877434052552,66.8694848475366,399.888066085333,1000,3.60691026634812,0.18408214136291,0.68670409947883,0.0449479289417949,69.5667785712226,18.2609526243791,697690009.023657,39.051050286212,127.970246564211,438.004359483363,0
Xinjiang Uyghur Autonomous Region,2.74101466841945,0.307675137406606,0.590361454450371,0.0927058766517496,43.0744659252142,13.4312175965731,828.556720088948,21.8639596427943,103.080800390494,402.426810027997,62,2.62526873306633,0.233428922676493,0.368463530330251,0.069007705088751,43.0744659252142,6.32742464836809,46.8143817477806,15.3926938690353,55.6058835788055,369.636134418939,1000,2.84895926149938,0.376947638505376,0.808112489435037,0.116722159137959,43.0744659252142,57.4038103591204,489813.398498986,26.7413380457122,163.724555370356,423.758764954987,0
Yunnan Province,0.529415445212283,0.485932710487804,0.613311765135726,0.430145278156788,12.8523626315217,590.233682885007,384.926274571601,6.69558494000716,108.751448817702,185.899802139342,62,0.301047723759649,0.386600543542353,0.168579952777564,0.345457826882278,12.8523626315217,60.9375540352868,7.67359045428083,2.35382032208821,22.4216014149532,147.598722560656,500,0.70734705111684,0.548002996923665,1.11015052172867,0.541568569989188,12.8523626315217,176598.62993505,41162.2314317762,9.46013313283247,278.982867268162,210.203370099066,0
Zhejiang Province,4.57436673788575,0.327288872179627,0.497711841913032,0.0646623978069377,278.636687966319,24.2606470370473,223.621187667163,125.297170812529,81.7122507871623,633.224080072518,62,4.45351395447656,0.257701602453895,0.243697432840461,0.050276897352276,278.636687966319,10.0175645981881,11.1822781588065,70.6504692223587,33.9688227333951,601.940018332899,1000,4.68517549013555,0.388431523098317,0.742943453681271,0.0773828863238379,278.636687966319,121.066431782858,38597.017801294,164.388069749547,143.886431366659,654.400814593773,0
