,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Jiangsu Province,173.00086526933217,103.03010364531973,93.40385281474767,162.74861252849777,73.82432151403775,173.93090550155114,188.71008559478116,65.80751452706419,103.15973337517026,80.92985330371371,173.26903654195152,65.46790399232184,110.6951979427301,67.71756514641729,92.12278687865533,97.30928692222452,91.07781788555621,189.4252475760324,97.67936726472837,43.26834650486734,108.80963824082284,46.51932252679465,93.46216104309215,95.9933511337046,92.1826260205197,78.30051996672327,64.08206119315466,126.30591075545357,48.6505566674267,153.38943515965994,84.5649926532931,92.65077853451945,56.57635054565121,205.08481400601073,130.53035366752533,103.90367070042645,101.2241572867861,153.15923132565447,49.51495538865582,122.2021914048528,132.13932818816056,113.43188426751163,118.02758636166016,148.2384580833732,146.69613451878809,167.60021879358987,139.8555206728769,107.90855034697043,113.542464829404,175.2311652972773,103.48553851785222,151.66970184710442,262.4417329386938,69.39563724563982,84.67456341223732,179.43823368140968,205.63018680435187,194.7009209796675,127.5269117805727,130.22069567555195,125.98301171937473,287.5673040971151
Henan Province,166.59504242218844,106.97535544934999,98.72676153111712,125.42484726452284,109.9647110716805,204.53211709546304,195.7888862146175,117.64411396044152,110.68159876617773,81.75543750019615,121.79960001753565,101.04778485871574,94.82678510816575,83.79953192465318,89.28547093029223,65.81225356757491,91.70510820409535,127.11522224768338,108.47243243438223,42.21332886780856,113.17547280200665,39.5136690054863,50.75354951274903,58.97939120973578,82.02538337881897,89.00667957980798,56.29779317078244,104.29912985150571,47.48960741741989,89.6744341849764,78.09845725871897,91.39590442432268,59.62369537164575,133.70214351704863,82.92073131223687,93.21669579897828,123.31888011049303,100.6601794205779,81.49572762372293,82.86876610850732,102.71686781518927,131.69941639763746,77.99496082750053,92.60351982314651,121.19870287526342,110.85013363998053,73.78046859943544,56.17320103053494,102.61055939567612,130.3394263844873,101.37390776375085,121.5451745121093,204.7492315858877,88.40439850486374,79.22361738342227,133.3392693366935,158.0081906682441,187.00234997693155,158.4638326028309,104.94565638208367,131.33190873832373,241.02270272991404
Tibet Autonomous Region,48.77191552299867,30.37591307406003,32.626953214917584,40.20125848368044,26.606863660697066,37.33615002789154,38.86323530253135,25.7779664931249,35.19988370461026,33.44591921118797,27.37723645480969,43.951490992452534,35.320714264006924,29.275735950904853,39.5753691172221,26.920096110325645,31.202985868200567,27.356513713989234,34.43229164680636,37.835266488419876,49.447768182441926,46.46795859945666,56.282245411436364,32.08684801644605,37.90929329217239,46.517096785216026,41.383374961299054,40.662003351265895,42.01010059976366,38.8801109707153,39.206264458152546,35.4218478532772,43.76199035385363,47.194864499794576,46.88070431500343,38.07850636098752,37.67353678145274,49.687198115036665,41.44648264503178,38.630937805455716,43.26890608667957,40.29957708357229,47.454828166841196,37.086172716276174,63.338029684937624,61.862060503567434,50.68938749177255,41.165620180423296,66.78812298266479,61.35703772392246,42.995417865604026,57.91883955350345,51.76534331598806,53.17371354118537,48.31890326793436,45.812313005414964,46.357746864350915,55.48444410596903,58.26266904745148,56.18600750235797,62.357592983533024,69.56677857122256
Shandong Province,87.1225495512894,46.6001752266973,51.47373514918055,62.9213482359711,52.92592776484868,106.89977135815121,109.84203353302424,72.80142453131666,49.53448125610714,33.264411387400855,67.00751591986445,47.884286565355886,58.95789426940661,28.61177163159885,43.01073255611401,30.52929349412621,50.035514185149786,72.85654685291117,54.04123568237304,23.195151074416202,60.03174364661191,23.62694955175004,54.40953709757984,29.901457743502462,49.26159467566572,41.99508003947835,39.22265612492711,59.85900451357866,33.91140311823157,52.58864682788593,41.48997182756439,60.88752510599227,18.96185960700197,101.23091539145027,42.08808900874465,55.86561875000625,110.42607281487201,67.3999556886252,58.723564780597066,78.79658793982065,54.17144464665907,86.66826254560596,39.88597552258743,49.228554244406034,84.97971193685817,63.00359347834907,45.833994307821754,32.20795386694602,58.80513371565766,91.00269351604618,53.501098667575384,72.27056889116754,119.13231893556909,52.475032363318306,61.560463488170875,87.9043120258731,110.00836281712733,139.40985583630732,101.28900688474899,65.9782002608118,73.13814473576912,130.728208808408
Qinghai Province,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026850200284365025,0.3576914211137015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2336627204340618,0.0,0.0,0.0,0.0,0.0,0.0,0.09176531031757527,0.0,0.0,0.0,0.0,5.643995111871758e-06
Ningxia Ningxia Hui Autonomous Region,0.7469160528412973,0.0,0.0,0.4094592661719486,0.19723647599845645,0.5881641404770879,0.7748428488994739,0.009622209507455085,1.560950187977324,0.08958539769717233,11.22005027065125,1.5848542989499295,0.7866238967007176,0.11745865002773229,2.063127916568777,0.06177844458000479,0.2283413172450595,0.13488221413577522,0.0,1.7185402291503775,4.56616918814448,0.2030995387776704,0.2503502244262739,0.014045978814434161,0.7735988122800244,0.29387571682482283,0.22348432250053335,0.59818299180236,0.27874842554259976,0.505568758830545,6.30075089681507,8.254352510893011e-07,0.0,1.3936560920849002,0.28501420017279205,0.5517569702883007,6.877504262810487,2.206675026233799,7.880489768689734,17.089293074060567,7.779438378253324,7.308312577402756,1.6695466421070415,0.6586253481157625,14.387515640758675,4.83130541525086,0.36996569599815066,6.282673371980308,0.5653622175182618,11.521825848281061,5.193751181759707,0.26610267691709627,4.4415506165740695,8.445222958985934,6.832596942627054,7.533893143468882,14.589907422770787,9.7009612879712,1.0132014972159527,1.586031320436299,15.108766544088919,11.510092272263577
Shaanxi Province,29.994403122229052,22.120382675536955,20.442138790960772,19.434911179460165,10.908572937590968,36.943197306718176,39.25483991153001,25.731928622401234,30.724063256017903,19.559003558144305,39.7836204234746,32.269754426733485,23.296930097028223,15.64808525412203,16.095636604651816,10.688880850438787,18.15288841476407,14.212681146398696,21.995272051614457,7.434685938334321,27.58299224321606,6.261671642763051,2.8246269798292727,3.6819066741645248,18.27738700492607,11.60735803090806,5.9656768686538255,14.329784994800495,9.001785252925252,11.723060652296507,20.049141595247793,16.388378526203137,4.47258679373242,24.983003382928423,26.775561068079835,12.431417969605635,38.36695809197837,12.56147120224728,12.271400508254699,20.913835046830187,27.43555458888047,32.74890710194638,14.060786995589217,18.42972285877808,28.437547082840474,34.13098194412938,5.5375367195373375,8.941398933604166,17.00556803651126,27.004141644197915,16.028390115970822,14.911252942399386,29.968282053099575,27.054937234522146,13.833955877626483,35.72068299759588,53.34006991798045,38.701175665351144,15.430548455606372,9.037976741978959,20.52069366815975,60.24310984876231
Tianjin Municipality,81.87861313168736,66.39974262096996,85.90814691669682,47.67667415561367,63.34618274877096,48.7292538236687,56.3013344454796,79.79391881302847,25.862408735054473,24.299970080986686,43.888007037913404,96.50682138730349,46.31071747931081,31.075613415651553,60.83777436323335,17.109023371811148,28.90606517810582,61.79166457557824,32.55754219044159,42.526653238849995,84.31296251251374,36.16710454049554,75.01160809495137,51.33715948544351,36.16505285293382,21.903510395327196,43.74270830306352,56.990661554374526,53.72958994231153,44.75792195333014,56.142229760879964,45.78867337924216,19.52395161267887,111.04445707028134,26.60878082292028,39.45409091035752,158.63132203266926,77.20614372816866,126.52565445459494,154.27648930949306,92.70420339995897,83.56719548171553,50.73479085488044,48.07369262333921,108.91727475563412,75.0744853597171,69.9145570765172,72.32894596778871,88.00230035765696,95.0244730636065,83.76232766626926,70.68644236848326,113.17628062187273,103.07954935697987,83.78286375573973,96.92590170697281,152.19554618746773,185.91479846810466,118.69950156546714,94.44539218818113,64.61573007784867,129.16642581880282
Shanxi Province,8.623053327244358,4.706364468214978,4.025733749170272,3.114581762492784,5.139924158846765,10.453674435075454,10.439997667349342,6.023494281169507,6.724016234585486,3.0547895956227826,9.736543159078066,9.154599961215247,3.2292586445636893,3.9439027768940766,3.9501225381423657,1.4100311875029472,2.411968137867441,5.02916114791126,4.4320273418435985,2.330863733025548,7.335681339318917,0.9652787415192556,1.0725463494356131,0.4098611654396793,5.463012149714045,3.584021932942666,1.8633143118271605,2.638413074451192,1.586906912279402,3.208990816024592,3.8315086169916377,4.546170587857184,0.8028503990011236,4.868977110936729,5.399524661944184,2.951569274785071,10.665797696251047,3.6136548195453053,6.06751945434932,5.047528728696131,8.708495710420648,13.58519965329549,3.3150781433351897,4.075890864385464,14.789278783246733,6.7014618356027835,2.368788835450914,2.4677130341428444,7.548365336102537,12.778273068438066,3.7420949549868974,3.5073247969399493,7.407446300200364,5.454083913617512,3.621604267615503,6.509658035561513,15.132818929490258,11.771027492179588,8.525284515448385,2.4302574999788358,6.85994506076668,17.052534470544824
Beijing Municipality,41.02312358944722,22.19882110922954,32.25726165027695,16.94070762672933,28.821934341181798,15.773111111619333,15.531789811550567,34.73913783496876,8.010692443843574,7.48177134078199,15.401653561397119,50.71008076773994,10.698040866103064,8.526213741806604,23.771738345104737,4.216158091613617,6.128334033501333,13.119863570976163,7.445707443537823,11.65391803912182,36.625021187947745,6.347203825758742,23.02381279121931,17.213494320772615,5.324039958964865,6.366507262108459,11.193420650828251,13.234056119448926,13.231456305384715,7.298701761076021,14.32138656585215,14.586778936985365,7.004073615428617,31.20640851408996,7.5301067913416615,7.507632250088758,53.85775792683315,18.876731935583106,64.88313906126679,81.83751259004298,35.502911286292445,41.868043823123664,17.9611660803827,13.119431161129269,44.50685380307171,18.732385975266318,20.425012835517954,21.94543003117912,35.75263524938182,55.19372159424098,19.864770354063168,19.392951658659726,33.265587524910366,42.23652828346387,29.232359590509727,43.30527120704494,56.86145179012733,79.74695157505886,48.35351965929396,33.643561020635616,14.406540893812398,49.191779587104214
