province,return_period,factual_original,factual_bootstrap_median,factual_lower_95,factual_upper_95,factual_valid_bootstraps,counterfactual_original,counterfactual_bootstrap_median,counterfactual_lower_95,counterfactual_upper_95,counterfactual_valid_bootstraps
Chongqing Municipality,116.74900711970662,-1.4975577346050284,-1.4901007095684822,-1.6135285575625329,-1.3680447448451614,1000,-1.3632288870834162,-1.359737322259845,-1.482013420093101,-1.2512193098092943,1000
Chongqing Municipality,119.47235597314324,-1.502812372664622,-1.4952318286675395,-1.6198448502451828,-1.3725613368535432,1000,-1.3679060059874786,-1.3642984112554422,-1.4872303728166958,-1.25534578775038,1000
Chongqing Municipality,122.2592310968281,-1.5080536076719355,-1.5004050176224153,-1.6261246708465047,-1.3770644078011953,1000,-1.3725692879711524,-1.368459592386114,-1.4924178879804284,-1.2594618794182653,1000
Chongqing Municipality,125.11111433801233,-1.5132815422583639,-1.5056126535489347,-1.6323861109007498,-1.3815614364772975,1000,-1.3772188456260397,-1.3727068311772705,-1.4975907782510047,-1.26368677599403,1000
Chongqing Municipality,128.02952211029643,-1.5184962777663595,-1.511156672484512,-1.637976311481382,-1.38582324280925,1000,-1.3818547900726736,-1.377134122419291,-1.5027498694110772,-1.2679409500958863,1000
Chongqing Municipality,131.01600619994366,-1.5236979142718132,-1.5162373044337598,-1.644164511783944,-1.3898506634727879,1000,-1.3864772309867992,-1.3815702524818942,-1.507918432998304,-1.2720660116072195,1000
Chongqing Municipality,134.07215459100124,-1.5288865506059377,-1.5214911921763612,-1.6503526975944152,-1.3944191879684766,1000,-1.391086276625062,-1.3860114519321725,-1.5134072403640235,-1.2762990020863236,1000
Chongqing Municipality,137.199592309669,-1.5340622843766667,-1.5266255644358298,-1.6564022353081584,-1.3989899124888359,1000,-1.395682033850118,-1.3904125412865904,-1.518605609680719,-1.2805808489135557,1000
Chongqing Municipality,140.39998228836393,-1.5392252119895955,-1.5317518012858655,-1.6622318908501803,-1.4035480049093743,1000,-1.4002646081551755,-1.3948275252820448,-1.5236646231789326,-1.2846723369455584,1000
Chongqing Municipality,143.6750262499412,-1.5443754286684557,-1.536945092654388,-1.6680466165406311,-1.408094194295369,1000,-1.4048341036880057,-1.399146996462917,-1.5287098112154534,-1.2888507969905227,1000
Chongqing Municipality,147.0264656125395,-1.549513028475149,-1.5420093850139411,-1.6738371249315132,-1.4126151896408314,1000,-1.4093906232744096,-1.4034937806727088,-1.5337412805381578,-1.2926210688067767,1000
Chongqing Municipality,150.45608241553467,-1.5546381043293518,-1.5469693813446521,-1.6796147644329968,-1.4170013788038576,1000,-1.4139342684411675,-1.4082104569315197,-1.5387591365622668,-1.2962218113025792,1000
Chongqing Municipality,153.96570026709196,-1.5597507480276933,-1.552137047684202,-1.6853796261353091,-1.4213750905347247,1000,-1.4184651394384948,-1.412603304735602,-1.5442933947756199,-1.2998671552853203,1000
Chongqing Municipality,157.55718531382155,-1.5648510502625286,-1.5574351544525649,-1.6911318000569695,-1.425736422023891,1000,-1.4229833352619936,-1.4171252003745187,-1.5498456245313106,-1.3038287002071403,1000
Chongqing Municipality,161.23244723305245,-1.5699391006403074,-1.5624021488006155,-1.6968770400998219,-1.4300854692470493,1000,-1.427488953674139,-1.4213903869484694,-1.5553855619309138,-1.307778109471058,1000
Chongqing Municipality,164.99344024825385,-1.575014987699563,-1.56716047594458,-1.702613055374853,-1.434422326985876,1000,-1.4319820912252939,-1.4258879062900243,-1.5609132931002956,-1.311724523227086,1000
Chongqing Municipality,168.8421641681406,-1.5800787989285041,-1.571896025979035,-1.7084141924928258,-1.43874708884835,1000,-1.4364628432742714,-1.4304332679240688,-1.5664289031635932,-1.3156600723953151,1000
Chongqing Municipality,172.78066545001963,-1.5851306207822606,-1.5768276539758919,-1.7142423754449772,-1.4430598472886111,1000,-1.4409313040084575,-1.4348835833986833,-1.5719324762594271,-1.3195837728509583,1000
Chongqing Municipality,176.81103828793903,-1.590170538699749,-1.5816498043376614,-1.7197339343281466,-1.4473606936264134,1000,-1.4453875664635067,-1.4392816071933168,-1.577424095556767,-1.3234957180590161,1000
Chongqing Municipality,180.93542572622073,-1.5951986371201974,-1.5865947155682698,-1.7254194385602517,-1.451649718066153,1000,-1.4498317225426123,-1.4436453300587566,-1.5829038432704756,-1.3273931242055088,1000
Chongqing Municipality,185.156020798968,-1.6002149994993278,-1.5916445273926625,-1.7312313958669086,-1.4559270097155022,1000,-1.4542638630353746,-1.4480812587986454,-1.5883718006765402,-1.3309332092105433,1000
Chongqing Municipality,189.47506769615262,-1.6052197083252018,-1.5964937294874213,-1.7370433699236227,-1.4601926566036352,1000,-1.4586840776362693,-1.4523716693998354,-1.5938280481269773,-1.3344618232363197,1000
