distribution,sumsquare_error,aic,bic,kl_div,ks_statistic,ks_pvalue,dataset,rank_sse
pearson3,0.0003057747287963978,5293.842493481044,5306.632688268818,0.3055135111167654,0.021655991901009863,0.9618432941395029,Hunan Province__factual,3.0
weibull_min,0.00031546147417943135,5291.950591470108,5304.740786257882,0.3317087315231567,0.03137864568572113,0.6674593357390011,Hunan Province__factual,5.0
gamma,0.000533332529758363,5025.630269940398,5038.420464728172,0.3516523584360995,0.023362622639258146,0.9302894200433915,Hunan Province__counterfactual,2.0
genextreme,0.0005319791229286106,5026.586984515995,5039.3771793037695,0.3522554598260591,0.02227156325114099,0.9517592541425601,Hunan Province__counterfactual,1.0
logistic,0.0006213615268360319,5055.939416982328,5064.466213507511,0.35403260249772467,0.04175306352785907,0.31071279297885623,Hunan Province__counterfactual,7.0
lognorm,0.0005346507310607301,5026.6013556189355,5039.39155040671,0.3541508936160621,0.024837856027188576,0.8941769708184524,Hunan Province__counterfactual,4.0
norm,0.0006115557259082714,5046.206527863549,5054.733324388732,0.2909250248578394,0.04921263400609083,0.15207479619867725,Hunan Province__counterfactual,6.0
pearson3,0.0005333327295948309,5025.630269942907,5038.4204647306815,0.3516505690631473,0.023362689906238132,0.9302879556154326,Hunan Province__counterfactual,3.0
weibull_min,0.000545572722517345,5024.145445225022,5036.935640012796,0.3193707356203984,0.02220478154039407,0.9529239795651047,Hunan Province__counterfactual,5.0
gamma,0.0003383705766976304,5279.893358180132,5292.6835529679065,0.4575455188592308,0.02259844011225276,0.9458089921506809,Hubei Province__factual,4.0
genextreme,0.000337956349075174,5278.750607701615,5291.5408024893895,0.4579777133733336,0.020655022537903245,0.975178697083547,Hubei Province__factual,2.0
logistic,0.0003867181851777239,5305.223726587573,5313.750523112756,0.51067477776906,0.0400095775041408,0.36053485941739194,Hubei Province__factual,7.0
lognorm,0.0003396093449728852,5280.5651949286785,5293.355389716453,0.4591945112156677,0.0228628060778705,0.9406941066882277,Hubei Province__factual,5.0
norm,0.0003668450611397257,5292.814777696774,5301.341574221958,0.4746278082703417,0.041398481594681014,0.3204424859325019,Hubei Province__factual,6.0
pearson3,0.00033837042173877146,5279.893358182078,5292.683552969853,0.45754698410792566,0.02259864201397166,0.9458051889395731,Hubei Province__factual,3.0
weibull_min,0.00033463485373432254,inf,inf,0.41869615824006085,0.018030528292566905,0.9945060265038463,Hubei Province__factual,1.0
gamma,0.0009600987478461929,4988.9871788493165,5001.777373637091,0.3912968301766543,0.03292209533886403,0.607878650599037,Hubei Province__counterfactual,2.0
genextreme,0.0009613558088414641,4987.936226322656,5000.72642111043,0.39023639528383713,0.0355751984110278,0.5083324400041078,Hubei Province__counterfactual,4.0
logistic,0.0011045438265881245,5023.1520855993185,5031.678882124502,0.4844895245510013,0.05009009826150401,0.13870349058382914,Hubei Province__counterfactual,7.0
lognorm,0.0009686306688518186,4990.425997882221,5003.2161926699955,0.3970820496115419,0.03567462426297002,0.5047280927045183,Hubei Province__counterfactual,5.0
norm,0.001039479216518526,5005.161953358064,5013.6887498832475,0.4308948096116072,0.05063040763659399,0.13095428598300296,Hubei Province__counterfactual,6.0
pearson3,0.0009600990724359922,4988.987178850957,5001.777373638732,0.3912966362400338,0.03292194984556984,0.6078842409099235,Hubei Province__counterfactual,3.0
weibull_min,0.0009296286935830896,inf,inf,0.34173140559660903,0.029539169425981615,0.7377828251032708,Hubei Province__counterfactual,1.0
gamma,0.0004655301995098105,5248.849210035876,5261.639404823651,0.6177557847515099,0.021741593994846542,0.9605282421573265,Chongqing Municipality__factual,3.0
genextreme,0.00046456414435116247,5247.631633906363,5260.421828694138,0.6272725707337655,0.02158629449319882,0.9628933461078867,Chongqing Municipality__factual,2.0
logistic,0.0005124049694456222,5272.362262646158,5280.889059171342,0.6672053868224591,0.035331740303721215,0.5172044842285048,Chongqing Municipality__factual,6.0
lognorm,0.00046370448195836835,5248.7961176724775,5261.586312460252,0.6161396687519199,0.019749368108091914,0.9841744314733089,Chongqing Municipality__factual,1.0
norm,0.0005347991856491302,5268.624039240594,5277.150835765778,0.6757282265808099,0.04775832289041004,0.17649055127617008,Chongqing Municipality__factual,7.0
pearson3,0.00046553030065555863,5248.849210039435,5261.63940482721,0.6177566156352544,0.02174235687531112,0.9605163964456265,Chongqing Municipality__factual,4.0
weibull_min,0.000492355615217525,inf,inf,0.6088826481356814,0.03464480394016778,0.5425689091596295,Chongqing Municipality__factual,5.0
gamma,0.0009627142205805378,4734.916393083888,4747.706587871662,0.29272397070961853,0.020592065908134505,0.9758949902498554,Chongqing Municipality__counterfactual,3.0
