Province,Return_period,RR_bootstrap_median,RR_lower_95,RR_upper_95,RIC_bootstrap_median,RIC_lower_95,RIC_upper_95
Sichuan Province,13.729255129864352,380.4221486438464,64.4480105645692,250858.5973887959,68.44267104974023,61.40249116051659,77.59754545667965
Sichuan Province,13.923966010321017,386.67425643356194,64.8327021122882,285578.6459533592,68.36936629798436,61.327075135942,77.52831693885575
Sichuan Province,14.121438317133991,393.0242724522502,65.21754531532497,325985.2025364386,68.30893734264919,61.25198197517468,77.49195215561473
Sichuan Province,14.321711213371648,399.47375563562144,65.60252981253299,373159.1259355189,68.24763412951586,61.17720844302703,77.45574279688894
Sichuan Province,14.524824417520344,405.4311208093121,65.98764517327373,428416.2331795982,68.16783500584722,61.10275135500544,77.41968732867471
Sichuan Province,14.730818211361496,412.67748708084537,66.06157151363435,493365.05486634094,68.10252199546039,61.02860757624821,77.37883268326914
Sichuan Province,14.939733447960323,419.4349823492321,66.11912566228038,569980.5004897199,68.04540260436727,60.954774020491136,77.32140140029406
Sichuan Province,15.151611559767899,426.0947673770655,66.17286587293145,660698.3097504451,67.96102126368632,60.88124764906029,77.2701476264487
Sichuan Province,15.36649456683814,432.12799631672704,66.22280656710737,768519.7107828836,67.87820344971121,60.78265708278113,77.25990047203987
Sichuan Province,15.584425085161254,438.383062474269,66.26896259309675,896863.7938998587,67.79807411769838,60.67373838211626,77.24121644757167
Sichuan Province,15.80544633511545,445.22457626086907,66.315914760516,999999.9999999995,67.7295080156925,60.565017052670804,77.18664240458199
Sichuan Province,16.029602150038478,451.98641948341276,66.35947986750843,999999.9999999995,67.65514264846426,60.45649178677064,77.13221099989939
Sichuan Province,16.25693698492072,459.36513292591326,66.53275444817481,999999.9999999995,67.58802720215488,60.348161297187445,77.0779209724719
Sichuan Province,16.487495925221637,467.7444478128034,66.89231235959407,999999.9999999995,67.5216491120504,60.240024316727926,77.02377108019421
Sichuan Province,16.721324695811123,476.791202108896,67.25189664440093,999999.9999999995,67.45430432145443,60.13207959783129,76.96976009953329
Sichuan Province,16.9584696700378,485.92384525069525,67.61563666460198,999999.9999999995,67.37725748708014,60.02432591217769,76.91588682516247
Sichuan Province,17.198977878925845,493.6669984656892,67.9806498180041,999999.9999999995,67.29805667538739,59.91676205030535,76.86356211015148
Sichuan Province,17.442897020502272,501.308446129948,68.34570723789193,999999.9999999995,67.21428654618666,59.80938682123678,76.82248619851514
Sichuan Province,17.690275469256502,509.7999160705585,68.71079917792643,999999.9999999995,67.16132860451543,59.70219905211391,76.78157775873835
Sichuan Province,17.941162285734062,518.4353154762929,69.07591582608396,999999.9999999995,67.08626041930438,59.595197587841774,76.74086270935535
Sichuan Province,18.195607226266368,526.649782223466,69.44104730514273,999999.9999999995,67.00995385327928,59.48838129074033,76.70033925360113
Sichuan Province,18.453660752838495,535.5356343728702,69.80618367318168,999999.9999999995,66.95325568705745,59.38174904020464,76.66000562069691
Sichuan Province,18.715374043096883,545.2196260124623,70.14479082390058,999999.9999999995,66.90500266937164,59.281884727869574,76.6198600653458
Sichuan Province,18.98079900049901,555.0877237770742,70.34325624283383,999999.9999999995,66.81972243863297,59.18751312657739,76.57990086724047
Sichuan Province,19.249988264606937,563.8695526907779,70.53935369894496,999999.9999999995,66.73213380534705,59.093321847339304,76.54012633058296
Sichuan Province,19.5229952215269,572.8988751480886,70.7330746456605,999999.9999999995,66.66105543733181,58.999309659364314,76.50053478361558
Sichuan Province,19.799874014496957,582.0724378336927,70.92441073642446,999999.9999999995,66.60620187452201,58.90547534975353,76.46112457816344
Sichuan Province,20.080679554624734,592.0943082639988,71.113353825344,999999.9999999995,66.53443983405046,58.81181772316114,76.42189408918748
Sichuan Province,20.365467531777558,602.6138250848005,71.29989596780348,999999.9999999995,66.45681964404821,58.71833560146378,76.3828417143482
Sichuan Province,20.65429442562691,612.7670775319788,71.48402942105879,999999.9999999995,66.37445265522268,58.62502782343683,76.34838434801634
Sichuan Province,20.947217516849612,623.9230990520875,71.66574664480018,999999.9999999995,66.30192523341185,58.53189324443844,76.30741057392783
Sichuan Province,21.244294898487812,635.9685361044297,71.84504030169134,999999.9999999995,66.22805199836462,58.438930736100225,76.27020740100528
