Province,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Jiangsu Province,171.3209615217390,104.37799382608700,97.97612086956520,156.88363304347800,82.4036272826087,166.3061165217390,186.28125750000000,75.29342967391300,100.40663514130400,84.92710372826090,176.5993460869570,66.22855170652170,106.7016585326090,68.70748871739130,93.98796750000000,93.89707875000000,93.50346658695650,179.11421608695700,97.204815,49.33314176086960,109.6515675,49.24619608695650,96.53479933695650,98.72729550000000,94.4693736847826,84.39789179347830,76.09275195652170,126.08459510869600,52.08023788043480,156.88001739130400,87.48369195652170,95.7883844347826,61.13807902173910,200.2650035869570,132.94026508695700,107.40416282608700,105.78601663043500,162.6703483695650,53.76084016304350,127.61062141304300,132.55390956521700,110.93772326087000,135.98872855434800,152.4833266304350,154.51051695652200,176.82677021739100,156.14492478260900,122.25808663043500,121.05768521739100,177.21151141304300,123.19067543478300,159.2824402173910,267.9490066304350,72.63094832608700,89.95040119565220,181.00026782608700,213.40214315217400,191.48759510869600,131.3145547826090,136.45480402173900,129.82942369565200,286.2514467391300
Henan Province,159.17529423913000,103.80130630434800,94.61930576086960,121.27284097826100,101.72669673913000,193.33025217391300,190.43914304347800,112.25755663043500,103.61313097826100,78.3080775,120.27411391304300,97.11998413043480,91.7422327173913,77.90977369565220,85.53353673913040,68.47192565217390,90.23821239130430,127.28517554347800,104.86728684782600,41.27461128586960,111.20123641304300,39.76960744565220,54.423329869565200,59.622517173913000,82.72369760869570,82.99649739130440,55.72217885869570,103.98498945652200,47.068057663043500,90.85608880434790,76.74258521739130,89.74115902173910,56.330325978260900,134.32925347826100,81.68697684782610,92.28566152173910,123.32119793478300,102.98384315217400,80.1496154347826,85.27659652173910,102.77386532608700,128.57032369565200,78.64754869565220,90.33446934782610,120.71599336956500,110.87581891304300,74.42995597826090,55.03244282608700,100.49423184782600,129.97812521739100,97.54226217391300,121.42624695652200,198.78250597826100,82.40712456521740,76.41831326086960,129.86704760869600,153.4043406521740,183.1427608695650,153.21550108695700,103.28736717391300,125.57167043478300,233.43938315217400
Tibet Autonomous Region,20.779802608695700,12.825297097826100,13.755180521739100,16.898799326087000,11.177046489130400,15.847579858695700,16.44494302173910,10.975334967391300,14.938652836956500,14.133635217391300,11.712727760869600,18.766045565217400,14.988109891304300,12.39403275,16.71956638043480,11.457186847826100,13.35821204347830,11.658156163043500,14.521687043478300,16.006066923913000,21.19276858695650,19.795305032608700,23.963443239130400,13.658398043478300,16.08614902173910,19.76697,17.55493170652170,17.394848315217400,17.94248422826090,16.507340706521700,16.720949543478300,15.042489750000000,18.76555252173910,20.126292065217400,20.010924782608700,16.120873467391300,16.062372978260900,21.185855217391300,17.624008369565200,16.49875989130440,18.458096282608700,17.24738938043480,20.353237239130400,15.773868880434800,27.227059239130400,26.637408195652200,21.752007358695700,17.61203964130440,28.916825869565200,26.36978576086960,18.416325228260900,24.78458983695650,22.372003760869600,22.909489826087000,20.639641695652200,19.8511102173913,19.872194869565200,23.915397228260900,25.035117065217400,24.153274565217400,26.76388793478260,30.085174565217400
Shandong Province,97.84995945652180,56.36111184782610,60.588401086956500,71.58122119565220,64.9175204347826,119.55383315217400,121.48833326087000,84.8830147826087,57.03461608695650,40.30097967391300,72.92309380434780,58.757535,64.12460380434780,35.51341891304350,51.750108097826100,34.37946684782610,55.35453913043480,82.36093695652170,60.92133260869560,28.603809665217400,67.59419673913040,27.242130326087000,58.39463739130430,34.29772923913040,57.114182934782600,50.17916191304350,45.29861902173910,63.849077608695600,37.79167597826090,56.734208413043500,47.25281054347830,66.340485,23.901355956521700,107.19041184782600,46.754998434782600,62.19107902173910,119.9662972826090,76.13148130434780,66.01842586956520,83.53200717391300,61.15278228260870,95.51841945652170,45.655144239130400,54.89738804347830,93.59731467391310,70.32895043478260,51.58149652173910,36.954597032608700,67.3300575,99.5687745652174,63.23699739130430,79.7740131521739,130.357665,59.16838206521740,67.38268108695650,96.08166293478260,119.79430043478300,153.45349336956500,114.6860354347830,73.49096739130440,83.93497434782610,144.06039586956500
Qinghai Province,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.83809732608696E-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.36481026086957E-07,0.0,0.0026088981847826100,0.2730300456521740,3.30927476086957E-05,0.0,0.0,0.0,3.45031972826087E-05,0.0,0.0,0.0,0.0,0.17370711195652200,0.0,0.0,0.0,0.0,1.0189222826087E-08,0.0005953284391304350,0.07127568097826090,3.34667025E-05,0.0,0.0,8.36875467391304E-05,4.01463919565217E-06
Ningxia Ningxia Hui Autonomous Region,0.5186611536847830,0.0006408117,0.0009529695107608700,0.2640596722826090,0.13242347608695700,0.46035014184782600,0.5433939838858700,0.007392990326086960,1.0574176304347800,0.07868567699481520,7.485337306565220,1.0297957372826100,0.5247064721739130,0.08817711907108700,1.3902621024521700,0.05179479456521740,0.15119178346956500,0.08927571127891300,6.05727782608696E-05,1.1101912826087000,3.082929865336960,0.1320207860061940,0.16222670863043500,0.010499975217391300,0.49253234925717400,0.19508336315217400,0.15145042500000000,0.4068927110878040,0.19195444565217400,0.35040573097826100,4.015599951521740,0.0038839734782608700,0.00012174422282608700,0.9449773425293480,0.18669054130434800,0.3513225288303590,4.857825727173910,1.4241499239130400,5.061613441304350,12.915274891304300,5.284409559304890,4.791006132065220,1.0514150947173900,0.4168466344565220,9.26546447152174,3.488452532608700,0.2343240620872830,4.033688330543480,0.3704779731521740,7.931637322826090,3.312499695652170,0.18469544253260900,2.8366989847826100,5.40773005934837,5.062863389673910,5.041874263400220,10.860742570108700,6.278793798913040,0.6594168906146740,1.0555808693478300,10.079392940706500,8.240047043478260
Shaanxi Province,27.63678580434780,20.157406239130400,17.44016556521740,17.692627695652200,10.16409756521740,33.87572266304350,34.549531630434800,21.375757760869600,26.471665271739100,16.655290434782600,34.43224729891310,27.7549875,19.253904456521700,12.944994456521700,14.058572869565200,10.186746984782600,15.903961141304300,14.027163652173900,18.254647173913000,6.617669771739130,23.996372086956500,5.269681858695650,2.452607461956520,3.5198623760869600,15.367286445652200,10.276306043478300,4.833502307608700,13.968484826087000,7.752429665217390,10.225621076087000,16.548133108695600,14.128431065217400,4.195780923913040,20.881244934782600,22.263452804347800,10.294158423913000,30.673294141304300,11.217401638043500,11.271837071739100,17.061328819565200,23.064288358695700,27.266409097826100,12.503417086956500,15.803487,23.36096817391300,28.762505119565200,4.8479241521739100,7.362395510869570,14.27386395326090,23.287056358695700,13.651781967391300,13.527011641304300,27.26791630434780,22.349371500000000,11.703996792391300,30.76108141304350,43.914755543478300,32.53986586956520,13.691584467391300,8.428067217391300,17.021355945652200,54.991235543478300
Tianjin Municipality,74.56052250000000,59.389679347826100,76.98390260869560,42.58534891304350,57.8575095652174,44.15960768478260,50.992680326087000,72.69857902173910,23.04701227173910,21.61593244565220,39.332813478260900,88.92491282608700,41.04552472826090,27.72494354347830,54.62513315217390,15.340942858695700,25.71531388043480,55.378452717391300,29.102370847826100,37.73263548913040,77.18261869565220,32.223112336956500,66.5978722826087,45.87171123913040,32.05253768478260,19.38177763043480,38.70709190217390,50.94125021739130,47.713227065217400,39.277712543478300,49.647665543478300,41.28724017391300,17.061267032608700,100.59921489130400,23.647548032608700,34.6449899347826,144.51592695652200,68.72555445652170,116.53990923913000,142.4499661956520,83.00923826086960,76.51831793478260,45.04252108695650,43.30596032608700,98.47699141304350,66.14511065217390,61.93108467391310,64.30642601086960,78.42756913043480,86.6301795,73.55342543478260,62.29385461956520,101.47730282608700,92.2161179347826,75.49359554347830,87.94799413043480,137.65387695652200,168.19897989130400,105.8627093478260,85.00312760869570,56.85630456521740,116.53822369565200
Shanxi Province,44.370388858695700,26.92351154347830,35.6398050326087,27.979799673913000,37.23432016304350,44.14709347826090,44.520255,39.2659701847826,25.040874619565200,20.91749282608700,33.95982932608700,40.93627891304350,21.739308260869600,18.330874923913000,27.242224728260900,9.164356630434780,14.80590733695650,30.71619489130440,24.14891347826090,18.913312545652200,34.63146489130440,9.7876125,15.057889923913000,15.537799271739100,24.398257500000000,20.723305793478300,19.23586640217390,20.152896652173900,15.082816989130400,19.400129217391300,22.953972032608700,29.140568706521700,13.496492934782600,36.76133015217390,21.282042423913000,23.27665695652170,60.96621815217390,38.45553984782610,38.01564616304350,37.73597302173910,38.70060456521740,49.38236902173910,19.834550413043500,22.257596739130400,55.11601858695650,34.797398478260900,25.229840869565200,19.61008982608700,42.38651885869570,49.76672380434780,35.792402673913000,31.507012858695600,49.90869097826090,34.90645040217390,30.1586497826087,38.71463086956520,64.76467108695650,70.95032902173910,55.26827217391300,28.0330027826087,40.81045548913040,65.65546760869570
Beijing Municipality,35.66628880434780,21.585859826087000,30.92278206521740,15.883166543478300,27.59071402173910,14.856200902173900,15.661332000000000,30.480813391304400,7.168594304347830,7.105244380434780,14.003444054347800,47.10031659782610,10.584642815217400,8.879325260869570,21.22138095652170,4.046892945652170,6.443840443695650,14.440147826087000,7.528685791304350,10.260400754347800,34.41355757608700,6.859474630434780,21.946434945652200,15.16759708695650,5.704726715217390,4.74609843097826,9.933043394347830,13.002927652173900,12.960085500000000,7.144112445652170,13.513944179347800,13.088505179347800,6.228111580434780,31.17125866304350,6.982055432608700,7.658398663043480,51.520469967391300,18.791936119565200,58.711275293478300,74.505798,31.513005000000000,36.780662543478300,16.091360315217400,13.689008804347800,38.95714663043480,18.07055011956520,18.498482510869600,20.61679558695650,29.772495489130400,45.62093377173910,18.79825304347830,18.905930217391300,30.80129527173910,36.5992529673913,26.397960945652200,36.45154956521740,50.2786335326087,68.6153504347826,39.96641445652170,30.68756510869570,13.162144891304300,42.86842190217390
