distribution,sumsquare_error,aic,bic,kl_div,ks_statistic,ks_pvalue,dataset,rank_sse
genextreme,0.17597954968287938,883.4248612299714,896.2150560177463,0.029156878257818708,0.029207333401617075,0.7501902100082871,Sichuan Province__factual,4.0
gennorm,0.18665940899618289,883.682993811549,896.4731885993239,0.02806458225751628,0.0372233235267771,0.4501470457955007,Sichuan Province__factual,7.0
johnsonsu,0.16034959780408117,883.8202513492665,900.8738443996331,0.023411479517194776,0.030129407348953308,0.715448865400789,Sichuan Province__factual,2.0
logistic,0.2324665448819821,899.6653326269332,908.1921291521164,0.03355139361695628,0.04304330247926905,0.27704969419471337,Sichuan Province__factual,8.0
norm,0.1853301010556604,883.3359682172565,891.8627647424398,0.028012368322348227,0.03351876059952785,0.5850384257073971,Sichuan Province__factual,6.0
pearson3,0.15904961536381468,881.5671698183364,894.3573646061113,0.023244649824164815,0.02948256602485355,0.7399076524128789,Sichuan Province__factual,1.0
skewnorm,0.16136408220569826,882.0891845444928,894.8793793322677,0.023364354794084233,0.031066833381539427,0.6794949760674199,Sichuan Province__factual,3.0
t,0.18532999045795523,885.3359682183368,898.1261630061117,0.028012363727745605,0.03351859974048588,0.5850445572674903,Sichuan Province__factual,5.0
genextreme,0.2917994061536031,854.3489002341776,867.1390950219525,0.08562781130179976,0.025676645228783657,0.8703169693307847,Sichuan Province__counterfactual,5.0
gennorm,0.28083087953580355,852.996227570967,865.7864223587419,0.08108068254346112,0.02807742147985659,0.7913461504331903,Sichuan Province__counterfactual,1.0
johnsonsu,0.28984251945110995,855.1050593309419,872.1586523813085,0.08914113542403859,0.027140755973429243,0.8237770447174486,Sichuan Province__counterfactual,3.0
logistic,0.3747624601175858,868.0362768011773,876.5630733263606,0.12904461498413475,0.040396478352888066,0.3490509361552203,Sichuan Province__counterfactual,8.0
norm,0.29718788892681136,852.4396634827337,860.966460007917,0.09230788928303664,0.03276306813500096,0.6139939984288583,Sichuan Province__counterfactual,7.0
pearson3,0.28911459284834784,852.9936649087673,865.7838596965422,0.08830535677397958,0.026563963541748947,0.842783197905728,Sichuan Province__counterfactual,2.0
skewnorm,0.291744920401525,853.3437557582977,866.1339505460726,0.09013974299396034,0.027886771117597742,0.7980877156004842,Sichuan Province__counterfactual,4.0
t,0.2971877664965227,854.4396634886383,867.2298582764132,0.09230776898581837,0.03276266046732179,0.6140096875101391,Sichuan Province__counterfactual,6.0
genextreme,0.29548663510099715,867.8238162337316,880.6140110215065,0.12782920931235048,0.03068634683013083,0.6941405892270744,Hubei Province__factual,2.0
gennorm,0.2789109622921657,865.1763960364883,877.9665908242632,0.10582815683192061,0.026503651948638185,0.8447228104826561,Hubei Province__factual,1.0
johnsonsu,0.32022203611968175,871.4354888432586,888.4890818936251,0.12445732174007179,0.0329980991700185,0.6049595703531663,Hubei Province__factual,5.0
logistic,0.4164391331010654,887.0163251669176,895.5431216921008,0.16171615877696136,0.04341163474261134,0.26793857573702473,Hubei Province__factual,8.0
norm,0.3201835641264856,867.4354829781025,875.9622795032858,0.12448878599971797,0.03298340270019762,0.6055238238737448,Hubei Province__factual,4.0
pearson3,0.32103237577333443,869.4229308819231,882.213125669698,0.12278980048981877,0.03362300529120599,0.5810682215308627,Hubei Province__factual,7.0
skewnorm,0.3202693889008447,869.4348435337969,882.2250383215718,0.12433182516475935,0.03304553211325073,0.6031390934442131,Hubei Province__factual,6.0
t,0.320183546482659,869.4354829789772,882.2256777667521,0.12448889575139163,0.032983505736498275,0.6055198675883477,Hubei Province__factual,3.0
genextreme,0.21631864014877522,853.389391166271,866.1795859540459,0.14198603135002333,0.020076433884516076,0.9812431011747067,Hubei Province__counterfactual,1.0
gennorm,0.2219603505805593,853.758001014434,866.5481958022089,0.10264891223109696,0.028249654385104295,0.7852002456133921,Hubei Province__counterfactual,2.0
johnsonsu,0.2418753100229774,863.0991026565432,880.1526957069098,0.14048290457847562,0.024698250032369473,0.8979249586646924,Hubei Province__counterfactual,7.0
logistic,0.3235233188422811,881.8972214919751,890.4240180171583,0.1903714842216636,0.036694150637713474,0.46844988588204506,Hubei Province__counterfactual,8.0
norm,0.24066690578734912,859.0964105689332,867.6232070941164,0.1414220012448646,0.024325791870690727,0.9075959594328155,Hubei Province__counterfactual,6.0
pearson3,0.23371781368164715,860.6526076995206,873.4428024872955,0.15613562536451975,0.026020324180112964,0.8599151005080535,Hubei Province__counterfactual,3.0
skewnorm,0.23827744934371012,861.0014884843683,873.7916832721432,0.1470643382921799,0.025130553472685613,0.8861074594784346,Hubei Province__counterfactual,4.0
t,0.2406665117561768,861.0964105704079,873.8866053581828,0.14142204856614554,0.024325866423432985,0.9075940722713773,Hubei Province__counterfactual,5.0
genextreme,0.19377245377254082,968.0893179730294,980.8795127608043,0.08332274868582808,0.03129018076938894,0.6708761926181372,Hunan Province__factual,2.0
gennorm,0.15871910804235229,964.1500976154347,976.9402924032096,0.06605495488313616,0.024629930058352123,0.899734941021039,Hunan Province__factual,1.0
johnsonsu,0.21064641818657065,974.3990261749251,991.4526192252916,0.0974915415596054,0.03326235618766171,0.5948309823988592,Hunan Province__factual,5.0
logistic,0.302821823707212,993.7093010340423,1002.2360975592255,0.13844492336852599,0.043711386036041355,0.2606861092937066,Hunan Province__factual,8.0
norm,0.21091772939515574,970.3988349248965,978.9256314500798,0.09733434788146164,0.03331342978434226,0.5928774599733998,Hunan Province__factual,6.0
pearson3,0.20814635727871977,972.3229502923352,985.1131450801101,0.09291011502526994,0.03254482563216071,0.6224010458621767,Hunan Province__factual,3.0
skewnorm,0.2106215560724629,972.3941696807701,985.184364468545,0.09683952113584403,0.03307915364400826,0.6018493184241669,Hunan Province__factual,4.0
t,0.2109177687780578,972.398834925136,985.189029712911,0.09733429056123957,0.033313547947246946,0.5928729419651779,Hunan Province__factual,7.0
genextreme,0.2347163632047713,912.9973329088588,925.7875276966337,0.07015004346838716,0.026303552855952705,0.8510895014376957,Hunan Province__counterfactual,4.0
gennorm,0.263250619328264,916.6975390330745,929.4877338208494,0.06304344952332393,0.03795370951428961,0.4255257851857559,Hunan Province__counterfactual,7.0
johnsonsu,0.21744929628894794,918.5823041266395,935.6358971770061,0.0748527838572888,0.022793565552853168,0.9420598534119913,Hunan Province__counterfactual,3.0
logistic,0.2657471592606484,934.0318626995887,942.558659224772,0.08039574575933484,0.032487969771462955,0.624593601439213,Hunan Province__counterfactual,8.0
norm,0.24260211543794227,916.8042568046731,925.3310533298563,0.0665178440989919,0.03495062989173303,0.5312188612237169,Hunan Province__counterfactual,6.0
pearson3,0.21667585970882006,916.3486125523093,929.1388073400842,0.07545888639319288,0.022341911179283996,0.9505136478715849,Hunan Province__counterfactual,1.0
skewnorm,0.21679151050843715,916.933283231409,929.7234780191839,0.07558200504523553,0.023097072801892327,0.9359364156555828,Hunan Province__counterfactual,2.0
t,0.2426019845916464,918.8042568068937,931.5944515946686,0.06651781388283831,0.034950512059702454,0.5312232169739709,Hunan Province__counterfactual,5.0
